booking_id,passenger_id,flight_id,booking_date,status,passport_number,seat_number,emergency_contact_name,emergency_contact_phone,airline,source,destination,departure_time,arrival_time,duration_mins,is_overnight,duration_hhmm,route,is_delayed,departure_slot,payment_id,amount,payment_method,age,age_group,gender,first_name,last_name
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,ad73ec2c5492f139290fd9f2178ab7dc4c010041c9776f768ee63ca86290d9e2,33C,T***,fa7d91c9cf6e429aa292137d1a44096899f361602661b2a1d21a26f81c11ff8e,SPICEJET,DEL,HYD,2026-04-20 23:05:41.703,2026-04-21 01:24:41.703,139.0,1.0,2h 19m,DEL to HYD,0.0,Night (21-05),,,,34,31-45,M,A***,N***
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,e5714a969a451bd9fcdb451a03baa8ae2392a0d90a3f97336e323ba153a0061e,15B,A***,a3ea29235c41b381587e6942c5f3168f541b4c20a8efb147ba7e74428f29ca45,AIR INDIA,BOM,CCU,2026-04-20 23:35:41.703,2026-04-21 01:23:41.703,108.0,1.0,1h 48m,BOM to CCU,0.0,Night (21-05),,,,79,60+,F,S***,M***
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,9989d87892b03dfd9ad59b911f62b9e6898bb795c1fd505d941358cd1fa9fa6c,22C,N***,b6a56560094bf337a2b6179db87194402ee6386c9d927b4541bbd00263958a79,AIR INDIA,HYD,BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,278.0,1.0,4h 38m,HYD to BOM,1.0,Evening (17-21),PAY1537,2115.18,CARD,60,46-60,F,R***,V***
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,beb6d1a598720bb33337ecb0d3446f9a593ea729e3a021b20a1f1a999c34a5c7,28B,H***,3a72a53d3f3a217a9f77d896db65a08b0e728b76826036e32ffe1fea2813bb75,AIR INDIA,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,1.0,2h 28m,BOM to DEL,0.0,Night (21-05),PAY1050,4074.67,CARD,3,Under 18,F,A***,A***
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,beb6d1a598720bb33337ecb0d3446f9a593ea729e3a021b20a1f1a999c34a5c7,28B,H***,3a72a53d3f3a217a9f77d896db65a08b0e728b76826036e32ffe1fea2813bb75,AIR INDIA,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,1.0,2h 28m,BOM to DEL,0.0,Night (21-05),PAY1274,12647.86,CARD,3,Under 18,F,A***,A***
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,beb6d1a598720bb33337ecb0d3446f9a593ea729e3a021b20a1f1a999c34a5c7,28B,H***,3a72a53d3f3a217a9f77d896db65a08b0e728b76826036e32ffe1fea2813bb75,AIR INDIA,BOM,DEL,2026-04-20 22:49:41.702,2026-04-21 01:17:41.702,148.0,1.0,2h 28m,BOM to DEL,0.0,Night (21-05),PAY1407,6979.86,CARD,3,Under 18,F,A***,A***
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,89a3eb3027c35b8a0049e177e0912e965a28e5a6179627ef0a31cc2eb9323a73,26E,N***,bb2cf4b3f407835a5340b236c28bbc7e9910d5896c25d91030e9d586925fb5e5,SPICEJET,BOM,MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,287.0,1.0,4h 47m,BOM to MAA,1.0,Evening (17-21),PAY1185,1176.33,UPI,62,60+,F,A***,S***
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,7eb2a606a80f25c3b63f47d2ef5d583702eab6afbab047839714c7c246901219,21E,G***,640468c58ff56cd00ca6cee17c06673f2803b2d4226caeca4b2fea74b839489a,SPICEJET,CCU,DEL,2026-04-20 21:58:41.703,2026-04-21 01:14:41.703,196.0,1.0,3h 16m,CCU to DEL,0.0,Night (21-05),,,,19,18-30,F,V***,G***
B1015,P1431,UK094,2025-10-21 11:37:36.951,NAN,041c1cce64eb3187fc2fe736b0a12b48329cb889a1d816b75558e2168557fe59,6F,G***,89567be73b0e2e65f5e352d67fe1c5d2d11077c9c7583fc6a943d613e86ca848,VISTARA,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,1.0,1h 45m,BOM to CCU,0.0,Night (21-05),PAY1339,12008.1,CARD,63,60+,F,I***,P***
B1015,P1431,UK094,2025-10-21 11:37:36.951,NAN,041c1cce64eb3187fc2fe736b0a12b48329cb889a1d816b75558e2168557fe59,6F,G***,89567be73b0e2e65f5e352d67fe1c5d2d11077c9c7583fc6a943d613e86ca848,VISTARA,BOM,CCU,2026-04-20 23:26:41.702,2026-04-21 01:11:41.702,105.0,1.0,1h 45m,BOM to CCU,0.0,Night (21-05),PAY1694,7601.56,CARD,63,60+,F,I***,P***
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,8708864513ffbac367e9fef737bec0375c16e9ecd8ba5312a9e75f957ef47607,6A,G***,99ed1ad3e9affe04a0ebbad9e35bd0ff545a08f523441d6e145153213671f7a8,VISTARA,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,1.0,2h 21m,BOM to CCU,0.0,Night (21-05),PAY1577,14076.51,CARD,69,60+,F,D***,N***
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,8708864513ffbac367e9fef737bec0375c16e9ecd8ba5312a9e75f957ef47607,6A,G***,99ed1ad3e9affe04a0ebbad9e35bd0ff545a08f523441d6e145153213671f7a8,VISTARA,BOM,CCU,2026-04-20 22:44:41.701,2026-04-21 01:05:41.701,141.0,1.0,2h 21m,BOM to CCU,0.0,Night (21-05),PAY1824,9724.26,NETBANKING,69,60+,F,D***,N***
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,dd47560214197c026348afe9fcb72d0711736671626bff1a757ce1715f583abe,13B,H***,5d6ad008d8efdb964c6e16ba9ff5418149eb31502cc21087fac15b3336cee17e,VISTARA,BOM,CCU,2026-04-20 21:36:41.701,2026-04-21 01:02:41.701,206.0,1.0,3h 26m,BOM to CCU,0.0,Night (21-05),,,,42,31-45,M,M***,J***
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,658f456236f2b59d51eefc10a628bedd1324d5669ebb13ab6f990f32ffdbe5ba,19B,C***,d1571a43a2635909df464d71730a7479f35decc4de99dedfe2fd048c9596c9d0,INDIGO,CCU,MAA,2026-04-20 23:04:41.703,2026-04-21 00:47:41.703,103.0,1.0,1h 43m,CCU to MAA,0.0,Night (21-05),PAY1141,2588.63,UPI,53,46-60,M,S***,I***
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,798bc9c3fa54e53b525745f3ef8282531763ea6fd3a9188e351cfdfe3c7925d3,19A,J***,64dc67e310a377ba1c206030029af75b69862895c2fc58778063bab206104a98,INDIGO,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,1.0,2h 27m,BLR to BOM,0.0,Night (21-05),PAY1162,14810.27,UPI,16,Under 18,M,A***,N***
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,798bc9c3fa54e53b525745f3ef8282531763ea6fd3a9188e351cfdfe3c7925d3,19A,J***,64dc67e310a377ba1c206030029af75b69862895c2fc58778063bab206104a98,INDIGO,BLR,BOM,2026-04-20 22:18:41.703,2026-04-21 00:45:41.703,147.0,1.0,2h 27m,BLR to BOM,0.0,Night (21-05),PAY1911,3810.73,CARD,16,Under 18,M,A***,N***
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,2e5a3ca6ec9a83054abd8f899abf0e0b1922ac9af1114ec25ed55c9bfd81058a,27B,F***,16676ef42e6f6132cf1e4fd88fbb590cc82af1c56cf0dd2ba667c89cb16c195b,SPICEJET,HYD,DEL,2026-04-20 22:20:41.702,2026-04-21 00:40:41.702,140.0,1.0,2h 20m,HYD to DEL,0.0,Night (21-05),PAY1367,8150.35,NETBANKING,16,Under 18,M,A***,G***
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,4900933b79777ac5603149d4e15b0d1677356450f3ef8c7e45511d896387c65e,4E,J***,24e6fd5602b40f01beac9af79b919a653b58a344f74427349c9d178c5c3d65c5,INDIGO,DEL,MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,274.0,1.0,4h 34m,DEL to MAA,1.0,Evening (17-21),PAY1455,6949.93,UPI,36,31-45,M,R***,G***
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,bce95538d57d12d7df0fd684ba5f697107655dbafd556cbbb4109143d6863f2b,16F,E***,78a48dabb54a1ea02c53133bdfbb06d8796c83934491bb0a6dbf15715515329d,AIR INDIA,BOM,HYD,2026-04-20 23:03:41.702,2026-04-21 00:35:41.702,92.0,1.0,1h 32m,BOM to HYD,0.0,Night (21-05),,,,18,18-30,M,K***,B***
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,a7291f2592735d41e27d17b4aa16be30e56723a044d98257be81e4d9bf8d822b,24B,V***,73265c61bcbe3cede54c36fc4765f7643af00451d23725d7c1b34a2d305a983a,INDIGO,BLR,BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,207.0,1.0,3h 27m,BLR to BOM,1.0,Night (21-05),PAY1905,13057.27,CARD,23,18-30,M,S***,G***
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,0503750fc2e01660a701d4b4f251b205b04207f082e36eff70f49757d49ae23b,30F,F***,c4fd9244498599a568178b831294dbc1e92babc11af188c0e05c5b2cccc5e598,AIR INDIA,MAA,BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,289.0,1.0,4h 49m,MAA to BLR,1.0,Evening (17-21),PAY1415,4857.79,UPI,24,18-30,M,D***,C***
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,a8941a6ae7e6cf5914e87688531574683eba244fbced7846de311d77ca6be25c,1B,H***,ec811b5537dee32bf32703b221aa9e30dfb8a4a953a375d69ae73684f52a8ff1,SPICEJET,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,1.0,4h 0m,CCU to DEL,1.0,Evening (17-21),PAY1628,9721.62,CARD,67,60+,F,K***,S***
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,a8941a6ae7e6cf5914e87688531574683eba244fbced7846de311d77ca6be25c,1B,H***,ec811b5537dee32bf32703b221aa9e30dfb8a4a953a375d69ae73684f52a8ff1,SPICEJET,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,1.0,4h 0m,CCU to DEL,1.0,Evening (17-21),PAY1658,11899.89,UPI,67,60+,F,K***,S***
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,a8941a6ae7e6cf5914e87688531574683eba244fbced7846de311d77ca6be25c,1B,H***,ec811b5537dee32bf32703b221aa9e30dfb8a4a953a375d69ae73684f52a8ff1,SPICEJET,CCU,DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,240.0,1.0,4h 0m,CCU to DEL,1.0,Evening (17-21),PAY1663,14501.45,CARD,67,60+,F,K***,S***
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,94333a570d816ebc0cd811db75abcc621079eb641f38afaa5284388b5721525f,32C,A***,5692958c9809e397e9960d04939bd4aef6295ff09310838f03073618c5b41fa2,AIR INDIA,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,1.0,1h 38m,BOM to CCU,0.0,Night (21-05),PAY1235,2015.66,NETBANKING,75,60+,M,I***,N***
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,94333a570d816ebc0cd811db75abcc621079eb641f38afaa5284388b5721525f,32C,A***,5692958c9809e397e9960d04939bd4aef6295ff09310838f03073618c5b41fa2,AIR INDIA,BOM,CCU,2026-04-20 22:40:41.701,2026-04-21 00:18:41.701,98.0,1.0,1h 38m,BOM to CCU,0.0,Night (21-05),PAY1841,11188.7,UPI,75,60+,M,I***,N***
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,ab70f92e0716ad36ba0ef55de33fe9f72699802d8bd1270c1324033c3aa38d17,22A,J***,4489c30c8a052186b3fceb11e544bbd66c1233d628cd49dea5b16beef0296936,VISTARA,CCU,BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,264.0,1.0,4h 24m,CCU to BLR,1.0,Evening (17-21),PAY1306,7503.17,UPI,1,Under 18,F,A***,J***
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,63e0e5008053d0b79f67286825d2131337d88859570c16865e60d8aa4c6e79c6,26E,K***,ab8e35f2aa828f959252dd218ebece2de7b167ea672bc00b6e6b5eabaa28f4bb,SPICEJET,BOM,CCU,2026-04-20 22:24:41.704,2026-04-21 00:10:41.704,106.0,1.0,1h 46m,BOM to CCU,0.0,Night (21-05),,,,39,31-45,M,K***,N***
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,7d2d91f958fa95a49e416f1902dd882ae0b7305fcc2ce1304cb77c00b677dc40,19C,S***,3c445d234e1ab0f6b1fb6f5065fd2c6e960c86712490c5979eb65f64aea462a9,INDIGO,BLR,BOM,2026-04-20 23:02:41.701,2026-04-20 23:57:41.701,55.0,0.0,0h 55m,BLR to BOM,0.0,Night (21-05),,,,28,18-30,F,K***,K***
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,a0f0b09d0bff05934fb6b6f49221a343ef63212dfaab56e6696a5d86ceb04ae2,21E,E***,71463c881e74552673219a21eaaf879113d084253b8ef472afba57f99805a83f,INDIGO,BOM,DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,199.0,0.0,3h 19m,BOM to DEL,0.0,Evening (17-21),,,,2,Under 18,M,A***,M***
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,e6e5e3f629439383e9df6df98af127938a6c8e67a94f8669c75a74862f317def,1E,Y***,d7a311ca46c0e7c53626ba5686b9653329aecad025c09a43bbe2e347bab070b1,AIR INDIA,DEL,HYD,2026-04-20 21:58:41.701,2026-04-20 23:51:41.701,113.0,0.0,1h 53m,DEL to HYD,0.0,Night (21-05),PAY1268,7056.42,CARD,45,31-45,F,S***,J***
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,3d05d61da72155cbc1321c42729e1aef6d9df12ec452a14e49b2753534957c10,18E,T***,98aca8a73a0c04e84d96582bf4893e1f783cec415951d12184e229c4e8fe4c5c,VISTARA,HYD,MAA,2026-04-20 22:00:41.701,2026-04-20 23:50:41.701,110.0,0.0,1h 50m,HYD to MAA,0.0,Night (21-05),,,,33,31-45,F,R***,J***
B1033,P1987,UK026,2025-05-06 11:37:36.951,NAN,6b97556d2d5407d02d50eb3a95d871b3fcb49c8a7327cc53b8e40fb4b5c9ba36,19A,A***,bef207436c8e0d967c02a3ae9e905a865a4948938309cc9f0cd10363c423f5b0,VISTARA,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,0.0,2h 6m,HYD to MAA,0.0,Night (21-05),PAY1189,9352.83,CARD,83,60+,F,S***,P***
B1033,P1987,UK026,2025-05-06 11:37:36.951,NAN,6b97556d2d5407d02d50eb3a95d871b3fcb49c8a7327cc53b8e40fb4b5c9ba36,19A,A***,bef207436c8e0d967c02a3ae9e905a865a4948938309cc9f0cd10363c423f5b0,VISTARA,HYD,MAA,2026-04-20 21:38:41.701,2026-04-20 23:44:41.701,126.0,0.0,2h 6m,HYD to MAA,0.0,Night (21-05),PAY1930,7723.56,UPI,83,60+,F,S***,P***
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,cfa57658d5e19bee65c4bda1435a136b6f1d9178b543728cca8f98f8b634343d,22F,E***,bcec85bb0e6f5c75cf8647a79dc82c8bc73596dd325b175c0d9c1f43b08851e1,SPICEJET,DEL,HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,210.0,0.0,3h 30m,DEL to HYD,0.0,Evening (17-21),,,,24,18-30,M,M***,N***
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,8a1cc0ec2b27edf140e678ebca5395402cbea39445e38b2c07b4b1655f42b52e,11D,V***,ab71320ea0c9e4fff3bfc111c0f333c0ab5b9d8d5cd76b0aeba42a5bd5fa7bb2,IndiGo,DEL,BLR,2026-04-20 22:56:41.703,2026-04-20 23:37:41.703,41.0,0.0,0h 41m,DEL to BLR,0.0,Night (21-05),,,,78,60+,M,I***,N***
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,faa1183e8ebcdc00f8602421467b713a726b50f7560e9d48d8f0b377ce4a6dcf,5B,D***,2aff54154bae0a2795d7ac4c0f0f7d38073c29af5269400d16527b0c3b86e691,SPICEJET,HYD,MAA,2026-04-20 21:20:41.702,2026-04-20 23:20:42.000,120.0,0.0,2h 0m,HYD to MAA,0.0,Night (21-05),PAY1271,5144.89,CARD,32,31-45,M,M***,R***
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,4f49a8d68bca787c6f4af154d348e7359355df6c984618d59c561d17dede3a1b,33E,A***,fbfbcf471723f4be840e3df95622ac8c238ff153d6d805e6969622707c0fc29a,AIR INDIA,CCU,HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,166.0,0.0,2h 46m,CCU to HYD,0.0,Evening (17-21),,,,69,60+,F,S***,S***
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,8943219e8ef203b1b2f61aee452948839a84da4f0daac16362032ec13d351982,12D,S***,4f3b0a9aae03c0587fbfc6af4e8003ad26701e409784c7e4f040dc9ffcc4eab3,SPICEJET,BLR,BOM,2026-04-20 21:55:41.702,2026-04-20 23:01:41.702,66.0,0.0,1h 6m,BLR to BOM,0.0,Night (21-05),,,,58,46-60,M,R***,D***
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,0a01f27b7076bbc240c7cd8ab6cd1958f4cc6c5920987d226ad2da1f0c4aa689,11E,S***,65756cc4fb0068e103f6018f0666cb538252bf19fb1a3d9e5dcf6dfbf1eab2c0,SPICEJET,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,0.0,1h 4m,HYD to CCU,0.0,Night (21-05),PAY1441,6604.98,CARD,57,46-60,M,A***,K***
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,0a01f27b7076bbc240c7cd8ab6cd1958f4cc6c5920987d226ad2da1f0c4aa689,11E,S***,65756cc4fb0068e103f6018f0666cb538252bf19fb1a3d9e5dcf6dfbf1eab2c0,SPICEJET,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,0.0,1h 4m,HYD to CCU,0.0,Night (21-05),PAY1457,8185.34,UPI,57,46-60,M,A***,K***
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,0a01f27b7076bbc240c7cd8ab6cd1958f4cc6c5920987d226ad2da1f0c4aa689,11E,S***,65756cc4fb0068e103f6018f0666cb538252bf19fb1a3d9e5dcf6dfbf1eab2c0,SPICEJET,HYD,CCU,2026-04-20 21:56:41.703,2026-04-20 23:00:41.703,64.0,0.0,1h 4m,HYD to CCU,0.0,Night (21-05),PAY1889,9866.37,CARD,57,46-60,M,A***,K***
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,bb1fd1d079df889306a8549800d49e893f78c4ef5db8c234c5f85f57d3c52303,26B,M***,4d59db4dfd5e1f66c5ca2149303db17ae216d3f4c7b099b7ffeb1cc43ec4d6f2,INDIGO,MAA,DEL,2026-04-20 22:24:41.702,2026-04-20 22:59:41.702,35.0,0.0,0h 35m,MAA to DEL,0.0,Night (21-05),,,,57,46-60,F,A***,G***
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,c09a37dde3db0d2d3ac5924c45330084d6659431267e69f92edd75a4817b045e,25C,L***,701958eb6913ae378362d00cd2572cf781082442697dc4cb9e91b1c4c6695d77,VISTARA,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,0.0,4h 8m,HYD to BLR,1.0,Evening (17-21),PAY1614,13829.91,UPI,51,46-60,F,S***,G***
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,c09a37dde3db0d2d3ac5924c45330084d6659431267e69f92edd75a4817b045e,25C,L***,701958eb6913ae378362d00cd2572cf781082442697dc4cb9e91b1c4c6695d77,VISTARA,HYD,BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,248.0,0.0,4h 8m,HYD to BLR,1.0,Evening (17-21),PAY1894,9750.27,NETBANKING,51,46-60,F,S***,G***
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,b206ee93d6f71ae8a95592301b1f6ad06b6478e21e919b561a3fd6ea9cdb0699,24F,L***,dec4ff45b11be31af4d208e39164809acb8dafeeb321ec52692eee2acbc23e7c,VISTARA,CCU,DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,111.0,0.0,1h 51m,CCU to DEL,0.0,Evening (17-21),PAY1048,14402.39,CARD,6,Under 18,F,M***,D***
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,4e5d10e375968648b80b8a96acfd6ad1191a26d75e5cfe7c97fd3f6dcc50515a,8E,A***,c841c4cdcb4305c46f3642235a339f60e955c26fb159f37464eb0026ecb0b0a4,INDIGO,CCU,DEL,2026-04-20 21:44:41.703,2026-04-20 22:39:41.703,55.0,0.0,0h 55m,CCU to DEL,0.0,Night (21-05),PAY1007,8291.6,UPI,8,Under 18,M,K***,J***
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,526712696e445c636c2343e7e1ae26b6f474ae9af1e4578397b56a7a3bb35204,16C,M***,f5d5968263d3792ab9505882037ef30e361111e1d713b9e18fa57054b1c8ca56,INDIGO,DEL,HYD,2026-04-20 21:36:41.703,2026-04-20 22:16:41.703,40.0,0.0,0h 40m,DEL to HYD,0.0,Night (21-05),PAY1225,1199.88,UPI,35,31-45,M,K***,C***
B1045,P1057,SJ214,2026-03-19 11:37:36.951,NAN,74ce760b0e95213e3fff5ad00f196eb8b7aee43eba7a279932e33f2b2e0bf426,18C,T***,54195bffad59a4b40824c8bfc6a865ed256df7e1d21fe4dd117b01f2c1575334,SPICEJET,BOM,MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,76.0,0.0,1h 16m,BOM to MAA,0.0,Evening (17-21),PAY1281,2330.65,NETBANKING,44,31-45,M,I***,G***
